index,title,citation,internal_url,doi_urls,source_url
44,Transgenic Mice Reveal Unexpected Diversity of On-Off Direction-Selective Retinal Ganglion Cell Subtypes and Brain Structures Involved in Motion Processing,"Rivlin-Etzion, M., Zhou, K., Wei, W., Elstrott, J., Nguyen, P., Barres, B., Huberman, A., & Feller, M. (2011). Transgenic Mice Reveal Unexpected Diversity of On-Off Direction-Selective Retinal Ganglion Cell Subtypes and Brain Structures Involved in Motion Processing. The Journal of Neuroscience, 31(24), 8760-8769. https://doi.org/10.1523/JNEUROSCI.0564-11.2011",https://hubermanlab.stanford.edu/publications/transgenic-mice-reveal-unexpected-diversity-direction-selective-retinal-ganglion-cell,https://doi.org/10.1523/JNEUROSCI.0564-11.2011,https://hubermanlab.stanford.edu/publications?page=2
45,The Down Syndrome Critical Region Regulates Retinogeniculate Refinement,"Blank, M., Fuerst, P., Stevens, B., Nouri, N., Kirkby, L., Warrier, D., Barres, B., Feller, M., Huberman, A., Burgess, R., & Garner, C. (2011). The Down Syndrome Critical Region Regulates Retinogeniculate Refinement. The Journal of Neuroscience, 31(15), 5764-5776. https://doi.org/10.1523/JNEUROSCI.6015-10.2011",https://hubermanlab.stanford.edu/publications/down-syndrome-critical-region-regulates-retinogeniculate-refinement,https://doi.org/10.1523/JNEUROSCI.6015-10.2011,https://hubermanlab.stanford.edu/publications?page=2
46,Emergence of Lamina-Specific Retinal Ganglion Cell Connectivity by Axon Arbor Retraction and Synapse Elimination,"Cheng, T.-W., Liu, X.-B., Faulkner, R., Stephan, A., Barres, B., Huberman, A., & Cheng, H.-J. (2010). Emergence of Lamina-Specific Retinal Ganglion Cell Connectivity by Axon Arbor Retraction and Synapse Elimination. The Journal of Neuroscience, 30(48), 16376-16382. https://doi.org/10.1523/JNEUROSCI.3455-10.2010",https://hubermanlab.stanford.edu/publications/emergence-lamina-specific-retinal-ganglion-cell-connectivity-axon-arbor-retraction-and,https://doi.org/10.1523/JNEUROSCI.3455-10.2010,https://hubermanlab.stanford.edu/publications?page=2
47,Molecular and Cellular Mechanisms of Lamina-specific Axon Targeting,"Huberman, A., Clandinin, T., & Baier, H. (2010). Molecular and Cellular Mechanisms of Lamina-specific Axon Targeting. Cold Spring Harbor Perspectives in Biology. https://cshperspectives.cshlp.org/content/2/3/a001743",https://cshperspectives.cshlp.org/content/2/3/a001743,,https://hubermanlab.stanford.edu/publications?page=2
48,Genetic Identification of an On-Off Direction- Selective Retinal Ganglion Cell Subtype Reveals a Layer-Specific Subcortical Map of Posterior Motion,"Huberman, A., Wei, W. ., Elstrott, J., Stafford, B., Feller, M., & Barres, B. (2009). Genetic Identification of an On-Off Direction- Selective Retinal Ganglion Cell Subtype Reveals a Layer-Specific Subcortical Map of Posterior Motion. Neuron, 62(3), 327-334. https://doi.org/10.1016/j.neuron.2009.04.014",https://hubermanlab.stanford.edu/publications/genetic-identification-direction-selective-retinal-ganglion-cell-subtype-reveals-layer,https://doi.org/10.1016/j.neuron.2009.04.014,https://hubermanlab.stanford.edu/publications?page=2
49,Architecture and Activity-Mediated Refinement of Axonal Projections from a Mosaic of Genetically Identified Retinal Ganglion Cells,"Huberman, A., Manu, M., Koch, S., Susman, M., Ullian, E., Baccus, S., & Barres, B. (2008). Architecture and Activity-Mediated Refinement of Axonal Projections from a Mosaic of Genetically Identified Retinal Ganglion Cells. Neuron, 59(3), 425-438. https://doi.org/10.1016/j.neuron.2008.07.018",https://hubermanlab.stanford.edu/publications/architecture-and-activity-mediated-refinement-axonal-projections-mosaic-genetically,https://doi.org/10.1016/j.neuron.2008.07.018,https://hubermanlab.stanford.edu/publications?page=2
50,Mechanisms Underlying Development of Visual Maps and Receptive Fields,"Huberman, A., Feller, M., & Chapman, B. (2008). Mechanisms Underlying Development of Visual Maps and Receptive Fields. Annual Review of Neuroscience. https://doi.org/10.1146/annurev.neuro.31.060407.125533",https://doi.org/10.1146/annurev.neuro.31.060407.125533,https://doi.org/10.1146/annurev.neuro.31.060407.125533,https://hubermanlab.stanford.edu/publications?page=2
51,The Classical Complement Cascade Mediates CNS Synapse Elimination,"The Classical Complement Cascade Mediates CNS Synapse Elimination. (2007). Cell, 131(6), 1034-1036. https://doi.org/10.1016/j.cell.2007.10.036",https://hubermanlab.stanford.edu/publications/classical-complement-cascade-mediates-cns-synapse-elimination,https://doi.org/10.1016/j.cell.2007.10.036,https://hubermanlab.stanford.edu/publications?page=2
52,Mechanisms of eye-specific visual circuit development,"Huberman, A. (2007). Mechanisms of eye-specific visual circuit development. Current Opinion in Neurobiology. https://doi.org/10.1016/j.conb.2007.01.005",https://doi.org/10.1016/j.conb.2007.01.005,https://doi.org/10.1016/j.conb.2007.01.005,https://hubermanlab.stanford.edu/publications?page=2
53,Nob Mice Wave Goodbye to Eye-Specific Segregation,"Huberman, A. (2006). Nob Mice Wave Goodbye to Eye-Specific Segregation. Neuron. https://doi.org/10.1016/j.neuron.2006.04.006",https://doi.org/10.1016/j.neuron.2006.04.006,https://doi.org/10.1016/j.neuron.2006.04.006,https://hubermanlab.stanford.edu/publications?page=2
54,Ephrin-As mediate targeting of eye-specific projections to the lateral geniculate nucleus,"Huberman, A., Murray, K., Warland, D., Feldheim, D., & Chapman, B. (2005). Ephrin-As mediate targeting of eye-specific projections to the lateral geniculate nucleus. Nature Neuroscience, 1013-1021. https://doi.org/10.1038/nn1505",https://hubermanlab.stanford.edu/publications/ephrin-mediate-targeting-eye-specific-projections-lateral-geniculate-nucleus,https://doi.org/10.1038/nn1505,https://hubermanlab.stanford.edu/publications?page=2
55,Eye-Specific Retinogeniculate Segregation Independent of Normal Neuronal Activity,"Huberman, A., Wang, G.-Y., Liets, L., Collins, O., Chapman, B., & Chalupa, L. (2003). Eye-Specific Retinogeniculate Segregation Independent of Normal Neuronal Activity. Science, 300(5621), 994-998. https://doi.org/10.1126/science.1080694",https://hubermanlab.stanford.edu/publications/eye-specific-retinogeniculate-segregation-independent-normal-neuronal-activity,https://doi.org/10.1126/science.1080694,https://hubermanlab.stanford.edu/publications?page=2
56,Decoupling Eye-Specific Segregation from Lamination in the Lateral Geniculate Nucleus,"Huberman, A., Stellwagen, D., & Chapman, B. (2002). Decoupling Eye-Specific Segregation from Lamination in the Lateral Geniculate Nucleus. The Journal of Neuroscience, 22(21), 9419-9429. https://doi.org/10.1523/JNEUROSCI.22-21-09419.2002",https://hubermanlab.stanford.edu/publications/visual-system/decoupling-eye-specific-segregation-lamination-lateral-geniculate,https://doi.org/10.1523/JNEUROSCI.22-21-09419.2002,https://hubermanlab.stanford.edu/publications?page=2
57,Finger-length ratios and sexual orientation,"Williams, T., Pepitone, M., Christensen, S., Cooke, B., Huberman, A., Breedlove, N., Breedlove, T., Jordan, C., & Breedlove, S. (2000). Finger-length ratios and sexual orientation. Nature, 404(6777), 455-456. https://doi.org/10.1038/35006555",https://hubermanlab.stanford.edu/publications/finger-length-ratios-and-sexual-orientation,https://doi.org/10.1038/35006555,https://hubermanlab.stanford.edu/publications?page=2
58,A dedicated circuit links direction-selective retinal ganglion cells to the primary visual cortex,"Cruz-Martín, A., El-Danaf, R., Osakada, F., Sriram, B., Dhande, O., Nguyen, P., Callaway, E., Ghosh, A., & Huberman, A. A dedicated circuit links direction-selective retinal ganglion cells to the primary visual cortex. Nature, 358-361. https://doi.org/10.1038/nature12989",https://hubermanlab.stanford.edu/publications/striate-cortex/dedicated-circuit-links-direction-selective-retinal-ganglion-cells,https://doi.org/10.1038/nature12989,https://hubermanlab.stanford.edu/publications?page=2
59,Milestones and Mechanisms for Generating Specific Synaptic Connections between the Eyes and the Brain,"Josten, N., & Huberman, A. Milestones and Mechanisms for Generating Specific Synaptic Connections between the Eyes and the Brain. Current Topics in Developmental Biology. https://doi.org/10.1016/S0070-2153(10)93008-1",https://hubermanlab.stanford.edu/publications/milestones-and-mechanisms-generating-specific-synaptic-connections-between-eyes-and,https://doi.org/10.1016/S0070-2153(10)93008-1,https://hubermanlab.stanford.edu/publications?page=2
